지역서점번호,서점명,우편번호,서점분류명,주소,전화번호
11,삼척영동사,25921,서점,경기도 삼척시 진주로 42,033-572-6060
21,일광서적.문구,15073,서점,경기도 시흥시 경기과기대로 269 (정왕동),031-8041-1203
23,초림문고,13597,서점,경기도 성남시 분당구 내정로165번길 38,031-716-8604
24,팀선교회생명의말씀사(의정부점),11757,서점,경기도 의정부시 청사로47번길 12 성산타워,031-845-0600
32,경지사,10863,서점,경기도 파주시 소라지로 193(신촌동. 236-18),031-949-3016
34,그린문고(안양),14059,서점,경기도 안양시 동안구 평촌동 126-1 두산벤처다임 B140-1호,031-478-5338
35,현대서점(파주),10929,서점,경기도 파주시 명동길 53(금촌동.현대서점),0319411351
36,화성서점(안성),17580,서점,경기도 안성시 대천동 127,0316752744
42,동보문고(남양주),12179,서점,경기도 남양주시 마석로 5-1,031-594-7751
43,더북스운정서점,10895,서점,경기도 파주시 미래로602번길 35. 202호(와동동.라이프프라자),031-945-0450
64,기독교서점,13907,서점,경기도 안양시 만안구 경수대로 1406번길 30(석수동.대학신학대학원내),031-444-5252
109,학원문고,14103,서점,경기도 안양시 동안구 평촌대로 142(평촌동.트윈마트지하1층),031-476-6500
115,비전문고(평택),17854,서점,경기도 평택시 비전5로 11. 103호~203호(비전동),031-653-5812
117,가온서적(의정부),11784,서점,경기도 의정부시 용민로7번길 50. 상가동동 311호 (용현동. 건영아파트),031-516-8784
147,한양문고(화정),10500,서점,경기도 고양시 덕양구 화신로 272번길 67. 4호 장군빌딩 지하1층(화정동),031-978-7330
4,(주)삼성문고,18442,서점,경기도 화성시 동탄솔빛로 54. 지하1호(반송동. 엔타워빌딩),031-387-5777
5,경원문고,15484,서점,경기도 안산시 단원구 광덕서로 16 (고잔동). 화랑타워 15호,031-499-8767
6,광주기독교백화점,12758,서점,경기도 광주시 광주대로 50 2층,031-762-1505
9,리틀존,16704,서점,경기도 수원시 영통구 반달로7번길 6 센타프라자 1층,031-206-0594
12,생명의말씀사(분당점),13590,서점,경기도 성남시 분당구 황새울로 315(서현동. 대현빌딩3F),031-707-5566
13,생명의말씀사(일산점),10366,서점,경기도 고양시 일산서구 중앙로 1391 지하 (주엽동. 강선마을 12단지 아파트),031-916-8787
20,웅비북,10317,서점,경기도 고양시 일산동구 건달산로225번길 21-27 (식사동),02-2066-8321
26,(주)한가람문고,15239,서점,경기도 안산시 단원구 선부광장1로56(선부동),031-405-0700
29,호산나기독교백화점,11451,서점,경기도 양주시 화합로1402번길 12(덕정동),031-858-1324
33,한가람문고.문구,14912,서점,경기도 시흥시 비둘기공원7길 33(대야동. 디아망타운),031-404-0161
47,쥬빌리아이,13207,서점,경기도 성남시 중원구 사기막골로 124.제비즈센터동 제지하1층 101~105호(상대원동.에스케이엔테크노마트),0317763311
55,평내문고,12223,서점,경기도 남양주시 경춘로1256번길 1 평내프라자,031-559-7090
58,주식회사 스카이시드,11940,서점,경기도 구리시 이문안로 72. 402호(수택동),031-565-4747
63,곤지암서적문구,12804,서점,경기도 광주시 곤지암읍 곤지암로 65,031-762-6253
81,앉으나서나책사랑서점,16298,서점,경기도 수원시 장안구 경수대로994번길 23(송죽동),031-241-4345
92,제일서적,16712,서점,경기도 수원시 영통구 봉영로 1763(영통동. 한성프라자 101호),031-206-3824
95,장안문고(주),16334,서점,경기도 수원시 장안구 대평로 80 (정자동) 정연메이져 지하B13호,031-269-4600
98,하이대동문고,13992,서점,경기도 안양시 만안구 안양로 316 (안양동. 본프라자B01),031-447-7000
104,율곡편의서점,16556,서점,경기도 수원시 권선구 권중로 70 (권선동),031-222-9897
112,안산문고,15471,서점,경기도 안산시 단원구 광덕대로 161(고잔동.웅신아트B02호),031-475-7455
120,동탄서울문고(주),18476,서점,경기도 화성시 동탄대로시범길 134. 비1 129호(청계동.카림애비뉴),031-378-1508
138,주식회사 예지,10882,서점,경기도 파주시 산남로 72-20(산남동),031-942-0780
