기준년월,시도명,시군구명,성별코드,사용금액
2014-02,서울특별시,은평구,F,41028874
2014-02,서울특별시,서초구,M,63319824
2014-02,서울특별시,금천구,M,10836496
2014-02,경기도,하남시,F,5943958367
2014-02,경기도,양주시,F,6560180551
2014-02,경기도,안양시 만안구,M,
2014-02,경기도,안산시 상록구,M,
2014-02,경기도,안산시 단원구,M,
2014-02,경기도,안산시 단원구,F,
2014-02,경기도,시흥시,M,
2014-02,경기도,성남시 중원구,F,
2014-02,경기도,성남시 수정구,F,7711702140
2014-02,경기도,과천시,F,2901656838
2014-02,경기도,광주시,M,
2014-02,경기도,구리시,F,
2014-02,경기도,남양주시,F,
2014-02,경기도,수원시 영통구,M,
2014-02,경기도,안성시,M,
2014-02,경기도,여주시,M,
2014-02,경기도,연천군,F,539030149
2014-02,경기도,용인시 기흥구,M,
2014-02,경기도,용인시 수지구,M,
2014-02,경기도,의왕시,F,7258020803
2014-02,서울특별시,금천구,F,13094053
2014-02,서울특별시,송파구,F,21353619
2014-02,인천광역시,계양구,F,0
2014-02,인천광역시,부평구,M,6550319
2014-02,충청남도,천안시 서북구,M,0
2014-02,강원도,춘천시,M,8578060
2014-02,경기도,고양시 일산서구,F,
2014-02,경기도,광명시,F,
2014-02,경기도,광주시,F,
2014-02,충청남도,천안시 서북구,F,0
2014-02,인천광역시,서구,F,60353940
2014-02,서울특별시,중랑구,M,76733916
2014-02,서울특별시,마포구,M,293169819
2014-02,서울특별시,도봉구,M,149277494
2014-02,서울특별시,노원구,F,88097260
2014-02,경기도,용인시 기흥구,F,
2014-02,경기도,오산시,M,
2014-02,경기도,안양시 만안구,F,
2014-02,경기도,안양시 동안구,M,
2014-02,경기도,구리시,M,
2014-02,경기도,과천시,M,3321776967
2014-02,서울특별시,도봉구,F,80219818
2014-02,경기도,광명시,M,
2014-02,경기도,김포시,F,
2014-02,경기도,성남시 수정구,M,9113480151
2014-02,경기도,수원시 팔달구,F,
2014-02,경기도,안산시 상록구,F,
2014-02,경기도,안성시,F,8377080172
2014-02,경기도,양평군,F,2083634994
2014-02,서울특별시,양천구,M,96580
2014-02,서울특별시,은평구,M,82289338
2014-02,경기도,여주시,F,7997180183
2014-02,경기도,평택시,F,
2014-02,경기도,화성시,M,
2014-02,서울특별시,구로구,M,416778615
2014-02,서울특별시,중랑구,F,32629105
2014-02,서울특별시,양천구,F,359980
2014-02,서울특별시,강서구,M,123738419
2014-02,서울특별시,강서구,F,36321960
2014-02,경기도,포천시,M,
2014-02,경기도,군포시,M,
2014-02,경기도,포천시,F,5901921369
2014-02,경기도,성남시 분당구,F,
2014-02,경기도,가평군,M,5073967079
2014-02,경기도,가평군,F,2607199915
2014-02,경기도,동두천시,F,3091574696
2014-02,경기도,양평군,M,3962520185
2014-02,경기도,수원시 장안구,M,
2014-02,경기도,수원시 권선구,F,
2014-02,경기도,성남시 분당구,M,
2014-02,인천광역시,서구,M,64055127
2014-02,충청북도,음성군,F,0
2014-02,인천광역시,계양구,M,695815
2014-02,서울특별시,송파구,M,18505606
2014-02,경기도,평택시,M,
2014-02,경기도,파주시,F,
2014-02,경기도,이천시,M,
2014-02,경기도,오산시,F,
2014-02,경기도,수원시 장안구,F,
2014-02,경기도,수원시 영통구,F,
2014-02,경기도,성남시 중원구,M,
2014-02,경기도,부천시,M,
2014-02,경기도,동두천시,M,5060780626
2014-02,경기도,남양주시,M,
2014-02,경기도,고양시 덕양구,F,
2014-02,강원도,춘천시,F,8319050
2014-02,경기도,고양시 일산동구,F,
2014-02,경기도,고양시 일산동구,M,
2014-02,경기도,부천시,F,
2014-02,경기도,수원시 권선구,M,
2014-02,경기도,안양시 동안구,F,
2014-02,경기도,양주시,M,
2014-02,경기도,연천군,M,3772608926
2014-02,경기도,용인시 수지구,F,
2014-02,경기도,용인시 처인구,F,
2014-02,경기도,용인시 처인구,M,
2014-02,경기도,의왕시,M,9336839334
2014-02,경기도,파주시,M,
2014-02,경기도,화성시,F,
2014-02,서울특별시,강동구,F,43900
2014-02,서울특별시,강동구,M,0
2014-02,서울특별시,구로구,F,126327637
2014-02,충청남도,아산시,F,2118043
2014-02,충청북도,음성군,M,0
2014-02,경기도,의정부시,F,
2014-02,경기도,시흥시,F,
2014-02,경기도,수원시 팔달구,M,
2014-02,경기도,김포시,M,
2014-02,경기도,군포시,F,
2014-02,경기도,고양시 일산서구,M,
2014-02,경기도,고양시 덕양구,M,
2014-02,충청남도,아산시,M,6022224
2014-02,인천광역시,부평구,F,3414542
2014-02,서울특별시,서초구,F,20079333
2014-02,서울특별시,마포구,F,102415961
2014-02,서울특별시,노원구,M,224026841
2014-02,경기도,하남시,M,8358660017
2014-02,경기도,이천시,F,
2014-02,경기도,의정부시,M,
2016-05,강원도,춘천시,F,34479900
2016-05,경기도,고양시 덕양구,F,
2016-05,경기도,과천시,M,5868170495
2016-05,경기도,남양주시,F,
2016-05,경기도,동두천시,M,7012021912
2016-05,경기도,부천시,M,
2016-05,경기도,수원시 권선구,M,
2016-05,경기도,수원시 영통구,F,
2016-05,경기도,수원시 장안구,F,
2016-05,경기도,시흥시,F,
2016-05,경기도,안성시,F,
2016-05,경기도,안양시 동안구,F,
2016-05,경기도,안양시 만안구,F,
2016-05,경기도,여주시,F,
2016-05,경기도,오산시,F,
2016-05,경기도,용인시 수지구,F,
2016-05,서울특별시,도봉구,F,34650680
2016-05,서울특별시,양천구,F,3248700
2016-05,경기도,가평군,M,8911662291
2016-05,경기도,광명시,M,
2016-05,경기도,성남시 수정구,M,
2016-05,경기도,양평군,M,6733467978
2016-05,경기도,용인시 기흥구,F,
2016-05,경기도,용인시 기흥구,M,
2016-05,서울특별시,강동구,M,40950
2016-05,서울특별시,구로구,M,591041961
2016-05,서울특별시,서초구,M,120888950
2016-05,서울특별시,송파구,F,21134750
2016-05,충청북도,음성군,M,0
2016-05,충청남도,아산시,M,11044679
2016-05,서울특별시,은평구,F,10941840
2016-05,서울특별시,마포구,M,250051547
2016-05,서울특별시,마포구,F,86798366
2016-05,서울특별시,노원구,F,119679587
2016-05,서울특별시,강서구,M,4724705613
2016-05,경기도,평택시,F,
2016-05,경기도,의왕시,M,
2016-05,경기도,용인시 처인구,M,
2016-05,경기도,양평군,F,3916824302
2016-05,경기도,수원시 팔달구,M,
