wt,sex
1607,m
1157,m
1248,m
1310,m
1398,m
1237,m
1232,m
1343,m
1380,m
1274,m
1245,m
1286,m
1508,m
1105,m
1123,m
1198,m
1300,m
1249,m
1185,m
915,m
1345,m
1107,m
1357,m
1227,m
1205,m
1435,m
1289,m
1093,m
1211,m
1260,m
1193,m
1330,m
1130,m
1357,m
1193,m
1232,m
1321,m
1260,m
1380,m
1230,m
1136,m
1029,m
1223,m
1240,m
1264,m
1020,m
1415,m
1410,m
1275,m
1230,m
1085,m
1048,m
1181,m
1103,m
1165,m
1547,m
1173,m
1660,m
1307,m
1535,m
1315,m
1257,m
1424,m
1309,m
1170,m
1412,m
1270,m
1230,m
1233,m
1561,m
1193,m
1272,m
1355,m
1137,m
1354,m
1110,m
1265,m
1407,m
1227,m
1330,m
1222,m
1305,m
1475,m
1177,m
1337,m
1145,m
1070,m
1305,m
1085,m
1303,m
1390,m
1532,m
1238,m
1233,m
1280,m
1245,m
1459,m
1157,m
1302,m
1385,m
1310,m
1342,m
1303,m
1248,m
1115,m
1365,m
1227,m
1353,m
1125,f
1027,f
1112,f
983,f
1090,f
1247,f
1045,f
983,f
972,f
1045,f
937,f
1245,f
1200,f
1270,f
1200,f
1145,f
1090,f
1040,f
1343,f
1010,f
1095,f
1180,f
1168,f
1095,f
1040,f
1235,f
1050,f
1038,f
1046,f
1255,f
1228,f
1000,f
1225,f
1220,f
1085,f
1067,f
1006,f
1138,f
1175,f
1252,f
1037,f
958,f
1020,f
1068,f
1107,f
1317,f
952,f
1056,f
1203,f
1183,f
1392,f
1130,f
1284,f
996,f
1228,f
1087,f
1035,f
1170,f
1064,f
1250,f
1129,f
1088,f
1037,f
1117,f
1095,f
1027,f
1027,f
1190,f
1153,f
1037,f
1120,f
1212,f
1024,f
1135,f
1177,f
1096,f
1114,f
