"wt" "sex"
1607 "m"
1157 "m"
1248 "m"
1310 "m"
1398 "m"
1237 "m"
1232 "m"
1343 "m"
1380 "m"
1274 "m"
1245 "m"
1286 "m"
1508 "m"
1105 "m"
1123 "m"
1198 "m"
1300 "m"
1249 "m"
1185 "m"
915 "m"
1345 "m"
1107 "m"
1357 "m"
1227 "m"
1205 "m"
1435 "m"
1289 "m"
1093 "m"
1211 "m"
1260 "m"
1193 "m"
1330 "m"
1130 "m"
1357 "m"
1193 "m"
1232 "m"
1321 "m"
1260 "m"
1380 "m"
1230 "m"
1136 "m"
1029 "m"
1223 "m"
1240 "m"
1264 "m"
1020 "m"
1415 "m"
1410 "m"
1275 "m"
1230 "m"
1085 "m"
1048 "m"
1181 "m"
1103 "m"
1165 "m"
1547 "m"
1173 "m"
1660 "m"
1307 "m"
1535 "m"
1315 "m"
1257 "m"
1424 "m"
1309 "m"
1170 "m"
1412 "m"
1270 "m"
1230 "m"
1233 "m"
1561 "m"
1193 "m"
1272 "m"
1355 "m"
1137 "m"
1354 "m"
1110 "m"
1265 "m"
1407 "m"
1227 "m"
1330 "m"
1222 "m"
1305 "m"
1475 "m"
1177 "m"
1337 "m"
1145 "m"
1070 "m"
1305 "m"
1085 "m"
1303 "m"
1390 "m"
1532 "m"
1238 "m"
1233 "m"
1280 "m"
1245 "m"
1459 "m"
1157 "m"
1302 "m"
1385 "m"
1310 "m"
1342 "m"
1303 "m"
1248 "m"
1115 "m"
1365 "m"
1227 "m"
1353 "m"
