"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,1,611,600,11,945,931,14,"UA",303,"N532UA","JFK","SFO",366,2586,6,0,2013-01-01 06:00:00
2013,1,1,745,745,0,1135,1125,10,"AA",59,"N336AA","JFK","SFO",378,2586,7,45,2013-01-01 07:00:00
2013,1,1,1029,1030,-1,1427,1355,32,"AA",179,"N325AA","JFK","SFO",389,2586,10,30,2013-01-01 10:00:00
2013,1,1,1112,1100,12,1440,1438,2,"UA",285,"N517UA","JFK","SFO",364,2586,11,0,2013-01-01 11:00:00
2013,1,1,1124,1100,24,1435,1431,4,"B6",641,"N590JB","JFK","SFO",349,2586,11,0,2013-01-01 11:00:00
2013,1,1,1436,1435,1,1840,1820,20,"DL",1322,"N722TW","JFK","SFO",375,2586,14,35,2013-01-01 14:00:00
2013,1,1,1848,1745,63,2238,2120,78,"AA",177,"N332AA","JFK","SFO",361,2586,17,45,2013-01-01 17:00:00
2013,1,1,1850,1850,0,2249,2240,9,"VX",29,"N638VA","JFK","SFO",364,2586,18,50,2013-01-01 18:00:00
2013,1,1,1905,1900,5,2311,2301,10,"DL",853,"N727TW","JFK","SFO",361,2586,19,0,2013-01-01 19:00:00
2013,1,2,839,800,39,1205,1144,21,"UA",397,"N554UA","JFK","SFO",349,2586,8,0,2013-01-02 08:00:00
2013,1,2,1607,1030,337,2003,1355,368,"AA",179,"N324AA","JFK","SFO",346,2586,10,30,2013-01-02 10:00:00
2013,1,2,1844,1845,-1,2236,2226,10,"UA",389,"N508UA","JFK","SFO",339,2586,18,45,2013-01-02 18:00:00
2013,1,3,716,715,1,1050,1040,10,"UA",799,"N525UA","JFK","SFO",336,2586,7,15,2013-01-03 07:00:00
2013,1,3,1821,1530,171,2131,1910,141,"AA",85,"N357AA","JFK","SFO",328,2586,15,30,2013-01-03 15:00:00
2013,1,3,1850,1745,65,2148,2120,28,"AA",177,"N332AA","JFK","SFO",314,2586,17,45,2013-01-03 17:00:00
2013,1,3,1915,1830,45,2212,2202,10,"UA",272,"N505UA","JFK","SFO",333,2586,18,30,2013-01-03 18:00:00
2013,1,4,719,700,19,1102,1045,17,"DL",1865,"N703TW","JFK","SFO",370,2586,7,0,2013-01-04 07:00:00
2013,1,4,1622,1530,52,1925,1910,15,"AA",85,"N373AA","JFK","SFO",339,2586,15,30,2013-01-04 15:00:00
2013,1,4,2010,1745,145,2257,2120,97,"AA",177,"N332AA","JFK","SFO",327,2586,17,45,2013-01-04 17:00:00
2013,1,5,656,700,-4,1056,1045,11,"DL",1865,"N713TW","JFK","SFO",383,2586,7,0,2013-01-05 07:00:00
2013,1,5,725,730,-5,1110,1100,10,"UA",799,"N525UA","JFK","SFO",365,2586,7,30,2013-01-05 07:00:00
2013,1,5,728,730,-2,1127,1115,12,"VX",11,"N855VA","JFK","SFO",387,2586,7,30,2013-01-05 07:00:00
2013,1,5,737,737,0,1122,1113,9,"B6",643,"N784JB","JFK","SFO",371,2586,7,37,2013-01-05 07:00:00
2013,1,5,744,745,-1,1141,1125,16,"AA",59,"N324AA","JFK","SFO",378,2586,7,45,2013-01-05 07:00:00
2013,1,5,1122,1030,52,1444,1355,49,"AA",179,"N327AA","JFK","SFO",362,2586,10,30,2013-01-05 10:00:00
2013,1,5,2104,1945,79,56,2329,87,"B6",645,"N565JB","JFK","SFO",364,2586,19,45,2013-01-05 19:00:00
2013,1,6,1116,1100,16,1445,1431,14,"B6",641,"N571JB","JFK","SFO",365,2586,11,0,2013-01-06 11:00:00
2013,1,6,1609,1530,39,1936,1910,26,"AA",85,"N364AA","JFK","SFO",350,2586,15,30,2013-01-06 15:00:00
2013,1,6,1749,1745,4,2125,2120,5,"AA",177,"N325AA","JFK","SFO",354,2586,17,45,2013-01-06 17:00:00
2013,1,7,708,715,-7,1048,1040,8,"UA",799,"N554UA","JFK","SFO",339,2586,7,15,2013-01-07 07:00:00
2013,1,7,1728,1725,3,2056,2050,6,"UA",512,"N518UA","JFK","SFO",351,2586,17,25,2013-01-07 17:00:00
2013,1,8,613,600,13,1040,925,75,"UA",303,"N554UA","JFK","SFO",359,2586,6,0,2013-01-08 06:00:00
2013,1,8,714,715,-1,1045,1040,5,"UA",799,"N532UA","JFK","SFO",354,2586,7,15,2013-01-08 07:00:00
2013,1,8,1533,1530,3,1916,1910,6,"AA",85,"N361AA","JFK","SFO",367,2586,15,30,2013-01-08 15:00:00
2013,1,8,1826,1830,-4,2207,2202,5,"UA",272,"N505UA","JFK","SFO",356,2586,18,30,2013-01-08 18:00:00
2013,1,9,555,600,-5,950,925,25,"UA",303,"N532UA","JFK","SFO",383,2586,6,0,2013-01-09 06:00:00
2013,1,9,655,700,-5,1052,1045,7,"DL",1865,"N717TW","JFK","SFO",388,2586,7,0,2013-01-09 07:00:00
2013,1,9,714,715,-1,1111,1040,31,"UA",799,"N518UA","JFK","SFO",391,2586,7,15,2013-01-09 07:00:00
2013,1,9,728,730,-2,1123,1115,8,"VX",11,"N841VA","JFK","SFO",388,2586,7,30,2013-01-09 07:00:00
2013,1,9,756,800,-4,1134,1125,9,"UA",397,"N502UA","JFK","SFO",376,2586,8,0,2013-01-09 08:00:00
2013,1,9,805,745,20,1154,1125,29,"AA",59,"N327AA","JFK","SFO",382,2586,7,45,2013-01-09 07:00:00
2013,1,9,1035,1031,4,1420,1403,17,"B6",641,"N806JB","JFK","SFO",379,2586,10,31,2013-01-09 10:00:00
2013,1,9,1101,1030,31,1511,1355,76,"AA",179,"N352AA","JFK","SFO",408,2586,10,30,2013-01-09 10:00:00
2013,1,9,1423,1429,-6,1801,1754,7,"UA",257,"N557UA","JFK","SFO",375,2586,14,29,2013-01-09 14:00:00
2013,1,9,1424,1430,-6,1836,1815,21,"DL",2126,"N704X","JFK","SFO",409,2586,14,30,2013-01-09 14:00:00
2013,1,9,1525,1530,-5,1929,1910,19,"AA",85,"N348AA","JFK","SFO",389,2586,15,30,2013-01-09 15:00:00
2013,1,9,1735,1725,10,2122,2050,32,"UA",512,"N525UA","JFK","SFO",382,2586,17,25,2013-01-09 17:00:00
2013,1,9,1742,1745,-3,2131,2120,11,"AA",177,"N336AA","JFK","SFO",387,2586,17,45,2013-01-09 17:00:00
2013,1,9,1950,1950,0,2340,2335,5,"B6",645,"N636JB","JFK","SFO",377,2586,19,50,2013-01-09 19:00:00
2013,1,10,557,600,-3,933,925,8,"UA",303,"N518UA","JFK","SFO",371,2586,6,0,2013-01-10 06:00:00
2013,1,10,710,715,-5,1051,1040,11,"UA",799,"N502UA","JFK","SFO",360,2586,7,15,2013-01-10 07:00:00
2013,1,10,802,745,17,1144,1125,19,"AA",59,"N332AA","JFK","SFO",379,2586,7,45,2013-01-10 07:00:00
2013,1,10,1042,1030,12,1428,1355,33,"AA",179,"N361AA","JFK","SFO",371,2586,10,30,2013-01-10 10:00:00
2013,1,10,1525,1429,56,1851,1754,57,"UA",257,"N555UA","JFK","SFO",356,2586,14,29,2013-01-10 14:00:00
2013,1,10,1719,1725,-6,2058,2050,8,"UA",512,"N508UA","JFK","SFO",347,2586,17,25,2013-01-10 17:00:00
2013,1,11,601,600,1,936,925,11,"UA",303,"N512UA","JFK","SFO",367,2586,6,0,2013-01-11 06:00:00
2013,1,11,728,715,13,1057,1040,17,"UA",799,"N554UA","JFK","SFO",357,2586,7,15,2013-01-11 07:00:00
2013,1,11,1047,800,167,1356,1125,151,"UA",397,"N510UA","JFK","SFO",337,2586,8,0,2013-01-11 08:00:00
2013,1,11,1452,1429,23,1829,1754,35,"UA",257,"N505UA","JFK","SFO",373,2586,14,29,2013-01-11 14:00:00
2013,1,11,1746,1745,1,2123,2120,3,"AA",177,"N319AA","JFK","SFO",365,2586,17,45,2013-01-11 17:00:00
2013,1,13,732,559,93,1058,930,88,"UA",691,"N505UA","JFK","SFO",341,2586,5,59,2013-01-13 05:00:00
2013,1,13,809,800,9,1141,1125,16,"UA",397,"N517UA","JFK","SFO",339,2586,8,0,2013-01-13 08:00:00
2013,1,13,1849,1850,-1,2241,2240,1,"VX",29,"N621VA","JFK","SFO",343,2586,18,50,2013-01-13 18:00:00
2013,1,13,2030,1950,40,4,2335,29,"B6",645,"N807JB","JFK","SFO",347,2586,19,50,2013-01-13 19:00:00
2013,1,14,554,600,-6,1014,925,49,"UA",303,"N502UA","JFK","SFO",381,2586,6,0,2013-01-14 06:00:00
2013,1,14,659,700,-1,1103,1045,18,"DL",1865,"N723TW","JFK","SFO",379,2586,7,0,2013-01-14 07:00:00
2013,1,14,714,715,-1,1109,1040,29,"UA",799,"N532UA","JFK","SFO",378,2586,7,15,2013-01-14 07:00:00
2013,1,14,739,745,-6,1133,1125,8,"AA",59,"N338AA","JFK","SFO",385,2586,7,45,2013-01-14 07:00:00
2013,1,14,1027,1030,-3,1409,1355,14,"AA",179,"N374AA","JFK","SFO",378,2586,10,30,2013-01-14 10:00:00
2013,1,14,1127,1031,56,1438,1403,35,"B6",641,"N766JB","JFK","SFO",350,2586,10,31,2013-01-14 10:00:00
2013,1,14,1551,1430,81,1908,1815,53,"DL",2126,"N722TW","JFK","SFO",347,2586,14,30,2013-01-14 14:00:00
2013,1,14,2301,1855,246,212,2245,207,"VX",29,"N626VA","JFK","SFO",351,2586,18,55,2013-01-14 18:00:00
2013,1,15,801,800,1,1130,1125,5,"UA",397,"N510UA","JFK","SFO",337,2586,8,0,2013-01-15 08:00:00
2013,1,15,1027,1031,-4,1425,1403,22,"B6",641,"N638JB","JFK","SFO",383,2586,10,31,2013-01-15 10:00:00
2013,1,16,552,600,-8,1048,925,83,"UA",303,"N510UA","JFK","SFO",366,2586,6,0,2013-01-16 06:00:00
2013,1,16,708,700,8,1056,1045,11,"DL",1865,"N722TW","JFK","SFO",362,2586,7,0,2013-01-16 07:00:00
