년월,시도명,시군구명,동명,결제상품명,사용빈도
2019-03,경기도,양주시,장흥면,양주사랑카드,3
2019-04,경기도,가평군,가평읍,가평사랑상품권,123
2019-04,경기도,가평군,북면,가평사랑상품권,6
2019-04,경기도,가평군,북면,수원페이,1
2019-04,경기도,가평군,북면,오산화폐 오색전,1
2019-04,경기도,가평군,상면,가평사랑상품권,1
2019-04,경기도,가평군,설악면,고양페이카드,1
2019-04,경기도,가평군,조종면,가평사랑상품권,3
2019-04,경기도,가평군,청평면,가평사랑상품권,17
2019-04,경기도,고양시 덕양구,고양동,고양페이카드,5
2019-04,경기도,고양시 덕양구,동산동,고양페이카드,9
2019-04,경기도,고양시 덕양구,벽제동,고양페이카드,2
2019-04,경기도,고양시 덕양구,삼송동,고양페이카드,6
2019-04,경기도,고양시 덕양구,성사동,고양페이카드,17
2019-04,경기도,고양시 덕양구,성사동,수원페이,6
2019-04,경기도,고양시 덕양구,성사동,용인와이페이,2
2019-04,경기도,고양시 덕양구,성사동,안산사랑상품권 다온,1
2019-04,경기도,고양시 덕양구,성사동,과천화폐 과천토리,1
2019-04,경기도,고양시 덕양구,성사동,의정부사랑카드,1
2019-04,경기도,고양시 덕양구,신원동,고양페이카드,7
2019-04,경기도,고양시 덕양구,오금동,고양페이카드,1
2019-04,경기도,고양시 덕양구,용두동,고양페이카드,1
2019-04,경기도,고양시 덕양구,원당동,고양페이카드,3
2019-04,경기도,고양시 덕양구,원흥동,고양페이카드,1
2019-04,경기도,고양시 덕양구,주교동,고양페이카드,35
2019-04,경기도,고양시 덕양구,토당동,고양페이카드,3
2019-04,경기도,고양시 덕양구,행신동,고양페이카드,41
2019-04,경기도,고양시 덕양구,화정동,고양페이카드,59
2019-04,경기도,고양시 일산동구,마두동,고양페이카드,11
2019-04,경기도,고양시 일산동구,백석동,고양페이카드,27
2019-04,경기도,고양시 일산동구,성석동,고양페이카드,3
2019-04,경기도,고양시 일산동구,식사동,고양페이카드,6
2019-04,경기도,고양시 일산동구,장항동,고양페이카드,55
2019-04,경기도,고양시 일산동구,정발산동,고양페이카드,8
2019-04,경기도,고양시 일산동구,중산동,고양페이카드,9
2019-04,경기도,고양시 일산동구,풍동,고양페이카드,4
2019-04,경기도,고양시 일산동구,풍동,부천페이,3
2019-04,경기도,고양시 일산서구,가좌동,고양페이카드,5
2019-04,경기도,고양시 일산서구,대화동,고양페이카드,40
